,source,author,title,description,url,publishedAt,content
10,"{'id': None, 'name': 'Overclockers.ru'}",CriptoB,"XRP имеет больший потенциал, чем акции Amazon, Apple и Netflix: мнение","Криптовалютный эксперт Панос Мекрас недавно поделился своим взглядом на инвестиционный потенциал XRP и его потенциалом в сравнении с акциями Amazon, Apple и Netflix",https://overclockers.ru/blog/CriptoB/show/118546/xrp-imeet-bolshij-potencial-chem-akcii-amazon-apple-i-netflix-mnenie,2023-11-04T15:50:29Z,"XRP - Amazon, Apple Netflix.
 , , , , , . Apple (AAPL), Amazon (AMZN) Netflix (NFLX), .
 , "" "" , . "" "", - .
 , , XRP. , , , .
"" , . , "", - .
 , XRP Avalanche (AVAX) , "" "" .
 , , ."
11,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Jim Cramer Slams Wall Street’s Negative Outlook On Apple,"Jim Cramer on Friday reiterated his bullish stance on Apple Inc AAPL, stating that Wall Street analysts are overly pessimistic about the company. What Happened: Cramer highlighted Apple’s enduring customer base as a key reason for the stock’s stability. He vo…",https://biztoc.com/x/5afc3b7cc3236261,2023-11-04T15:42:13Z,"Jim Cramer on Friday reiterated his bullish stance on Apple Inc AAPL, stating that Wall Street analysts are overly pessimistic about the company.What Happened: Cramer highlighted Apples enduring cust… [+294 chars]"
12,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Apple (NASDAQ:AAPL) Releases Earnings Results,"Apple (NASDAQ:AAPL – Get Free Report) released its quarterly earnings data on Thursday. The iPhone maker reported $1.46 earnings per share for the quarter, beating analysts’ consensus estimates of $1.39 by $0.07, Briefing.com reports. The business had revenue…",https://www.etfdailynews.com/2023/11/04/apple-nasdaqaapl-releases-earnings-results/,2023-11-04T14:34:48Z,"Apple (NASDAQ:AAPL – Get Free Report) released its quarterly earnings data on Thursday. The iPhone maker reported $1.46 earnings per share for the quarter, beating analysts’ consensus estimates of $1… [+6014 chars]"
13,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Apple (NASDAQ:AAPL) Issues Quarterly Earnings Results,"Apple (NASDAQ:AAPL – Get Free Report) released its earnings results on Thursday. The iPhone maker reported $1.46 earnings per share for the quarter, topping analysts’ consensus estimates of $1.39 by $0.07, Briefing.com reports. The company had revenue of $89.…",https://www.etfdailynews.com/2023/11/04/apple-nasdaqaapl-issues-quarterly-earnings-results/,2023-11-04T14:34:48Z,"Apple (NASDAQ:AAPL – Get Free Report) released its earnings results on Thursday. The iPhone maker reported $1.46 earnings per share for the quarter, topping analysts’ consensus estimates of $1.39 by … [+6019 chars]"
14,"{'id': None, 'name': 'Investopedia'}",Kevin George,Berkshire Hathaway's Cash Hoard Hit a Record. Here Are 4 Earnings Highlights,"Berkshire Hathaway reported its third-quarter earnings, which saw it's biggest cash hoard to date and a 40% increase in operating income.",https://www.investopedia.com/berkshire-hathaway-q3-2023-earnings-8386838,2023-11-04T13:39:01Z,<ul><li>Berkshire Hathaway reported a third-quarter net loss of $12.77 billion.</li><li>Apples 12% fall over the quarter hurt the companys $350 billion stock portfolio.</li><li>The company's cash hoa… [+4326 chars]
15,"{'id': None, 'name': 'MarketWatch'}",MarketWatch,Buffett’s Berkshire Hathaway cash pile hits record $157 bln with deals scarce,Warren Buffett’s Berkshire Hathaway ended the third quarter with a record cash pile but reported a deeper overall loss due to weakness in the stock market.,https://www.marketwatch.com/story/buffetts-berkshire-hathaway-cash-pile-hits-record-157-bln-with-deals-scarce-02238c2a,2023-11-04T12:40:00Z,"Warren Buffetts Berkshire Hathaway ended the third quarter with a record cash pile and reported a deeper overall loss due to weakness in the stock market but operating earnings rose. The Omaha, Nebra… [+4615 chars]"
16,"{'id': None, 'name': ""Barron's""}",Andrew Bary,Berkshire Operating Profits Surged to Record $10.8 Billion in Latest Quarter,Warren Buffett's firm saw higher profits from its insurance business and more income from its huge cash holdings.,https://www.barrons.com/articles/berkshire-hathaway-earnings-stock-price-8f61fc76,2023-11-04T12:39:38Z,"Berkshire Hathaways
 operating earnings surged 40% to a record $10.8 billion after taxes in the third quarter. The figure beat Wall Street estimates on a per-share basis.The conglomerate headed by C… [+1877 chars]"
17,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Apple (NASDAQ:AAPL) Price Target Lowered to $195.00 at Jefferies Financial Group,"Apple (NASDAQ:AAPL – Free Report) had its price target reduced by Jefferies Financial Group from $220.00 to $195.00 in a research report released on Tuesday morning, Marketbeat Ratings reports. They currently have a buy rating on the iPhone maker’s stock. AAP…",https://www.etfdailynews.com/2023/11/04/apple-nasdaqaapl-price-target-lowered-to-195-00-at-jefferies-financial-group/,2023-11-04T09:06:42Z,"Apple (NASDAQ:AAPL – Free Report) had its price target reduced by Jefferies Financial Group from $220.00 to $195.00 in a research report released on Tuesday morning, Marketbeat Ratings reports. They … [+5895 chars]"
18,"{'id': None, 'name': 'Applech2.com'}",applech2,OWC、様々な動画フォーマットを利用しiPhoneの内部ストレージや接続された外部ストレージのデータ転送速度を検証できるiOSアプリ「OWC Drive Speed」をリリース。,"OWCが様々な動画フォーマットを利用しiPhoneの内部ストレージや接続された外部ストレージのデータ転送速度を検証できるiOSアプリ「OWC Drive Speed」をリリースしています。詳細は以下から。 　Apple […]
The post OWC、様々な動画フォーマットを利用しiPhoneの内部ストレージや接続された外部ストレージのデータ転送速度を検証できるiOSアプリ「OWC Drive Speed」をリリース。 first appeared on AAPL Ch..",https://applech2.com/archives/20231104-owc-drive-speed-for-iphone.html,2023-11-04T08:18:13Z,"OWCiPhoneiOSOWC Drive Speed
Apple20239Wonderlust. ()LightningUSB-CiPhone 15iPhone 15 Pro
iPhone 15USB-C480MbpsUSB 2.0iPhone 15 ProUSB-C10GbpsUSB 3USB 3.2 Gen 2iPhone 15 ProMac
OWC20231102iPhoneiPh… [+868 chars]"
19,"{'id': None, 'name': 'Applech2.com'}",applech2,米Anker、3Dオーディオやマルチポイント接続、短時間充電などに対応しイヤーフックを備えたオープンイヤー型のワイヤレスイヤホン「Soundcore AeroFit Pro」を発売。,"米Ankerが3Dオーディオやマルチポイント接続、短時間充電などに対応したオープンイヤー型のワイヤレスイヤホン「Soundcore AeroFit Pro」を発売しています。詳細は以下から。 　 米Ankerは現地時間 […]
The post 米Anker、3Dオーディオやマルチポイント接続、短時間充電などに対応しイヤーフックを備えたオープンイヤー型のワイヤレスイヤホン「Soundcore AeroFit Pro」を発売。 first appeared on AAPL Ch..",https://applech2.com/archives/20231103-soundcore-by-anker-aerofit-pro.html,2023-11-04T07:16:58Z,"Anker3DSoundcore AeroFit Pro
Anker20231101SoundcoreSoundcore AeroFitSoundcore AeroFit Pro
AeroFit Pro open-ear headphones utilize a non-intrusive design to eliminate discomfort and allow you to enj… [+411 chars]"
20,"{'id': None, 'name': 'Biztoc.com'}",investors.com,Stock Market Rally Picks Up Steam; This Cloud Security Stock Makes A New High,"October jobs numbers and other economic reports pushed stock market gains higher in afternoon trading on Friday, with all major indexes gaining momentum as the day went on. But Dow Jones component and tech bellwether Apple (AAPL) didn't partake in the party, …",https://biztoc.com/x/4c5538412b265a19,2023-11-04T06:12:06Z,"October jobs numbers and other economic reports pushed stock market gains higher in afternoon trading on Friday, with all major indexes gaining momentum as the day went on. But Dow Jones component an… [+286 chars]"
21,"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網記者劉玟妤 台北,Fed利率連二凍、鴻海發聲明護股價、友達攜手錼創衝刺Micro LED 本周大事回顧,聯準會 (Fed) 周三 (1 日) 宣布暫停升息，基準利率走廊維持在 5.25% 至 5.5% 區間。鴻海股價跌跌不休，發聲明集團運作正常，籲外界對營運應有信心。友達與錼創合作，斥資 7 億建置 6 吋 Micro LED CoC 產線。,https://tw.stock.yahoo.com/news/fed%E5%88%A9%E7%8E%87%E9%80%A3%E4%BA%8C%E5%87%8D-%E9%B4%BB%E6%B5%B7%E7%99%BC%E8%81%B2%E6%98%8E%E8%AD%B7%E8%82%A1%E5%83%B9-%E5%8F%8B%E9%81%94%E6%94%9C%E6%89%8B%E9%8C%BC%E5%89%B5%E8%A1%9D%E5%88%BAmicro-led-%E6%9C%AC%E5%91%A8%E5%A4%A7%E4%BA%8B%E5%9B%9E%E9%A1%A7-080011579.html,2023-11-04T00:00:11Z,"(Fed) (1 ) 5.25% 5.5% 7 6 Micro LED CoC 
Fed 
 (Fed) (1 ) 5.25% 5.5% 2001 2 
 9 9 
(2317-TW) (30 ) 3 
 7 6 Micro LED CoC 
 (2409-TW) (31 ) - KY(6854-TW) 6 Micro LED Chip on Carrier(CoC) (Turnke… [+133 chars]"
22,"{'id': None, 'name': 'MarketWatch'}",MarketWatch Automation,"Company Close Updates: Peloton Interactive Inc. stock falls Friday, underperforms market","Shares of Peloton Interactive Inc. shed 4.05% to $5.21 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://www.marketwatch.com/data-news/peloton-interactive-inc-stock-falls-friday-underperforms-market-4803b80f-3a3a5d0924fd,2023-11-03T21:35:10Z,"Shares of Peloton Interactive Inc. 
 PTON,
 -4.05%
shed 4.05% to $5.21 Friday, on what proved to be an all-around positive trading session for the stock market, with the NASDAQ Composite Index 
 … [+804 chars]"
23,"{'id': None, 'name': 'MarketWatch'}",MarketWatch Automation,"Company Close Updates: Paramount Global Cl B stock rises Friday, outperforms market","Shares of Paramount Global Cl B surged 15.44% to $13.76 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://www.marketwatch.com/data-news/paramount-global-cl-b-stock-rises-friday-outperforms-market-c9de00c9-8db12a904794,2023-11-03T21:23:39Z,"Shares of Paramount Global Cl B 
 PARA,
 +15.44%
surged 15.44% to $13.76 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&amp;P 500 Index 
 SPX… [+768 chars]"
24,"{'id': None, 'name': 'Libsyn.com'}",,Firing on All Cylinders Indeed,We’re seeing some big reactions to earnings results in tech and have a few reasons to think some beaten up names might be finding their footing. (00:19) Ron Gross and Matt Argersinger discuss: <ul> <li>Why interest rate and unemployment news helped stocksthis…,https://fool.libsyn.com/firing-on-all-cylinders-indeed,2023-11-03T20:33:00Z,"Were seeing some big reactions to earnings results in tech and have a few reasons to think some beaten up names might be finding their footing.
(00:19) Ron Gross and Matt Argersinger discuss:
<ul><… [+666 chars]"
25,"{'id': None, 'name': 'Investopedia'}",Staff Author,Apple Shares Fall Amid Concerns About China Sales But Analysts Say They're Overblown,"Apple shares lost ground Friday after the company's third-quarter earnings showed revenue declining with sales in China dropping, though some analysts suggest worries about Apple's sales in China may be overblown.",https://www.investopedia.com/apple-shares-fall-amid-concerns-about-china-sales-but-analysts-say-they-are-overblown-8387148,2023-11-03T20:04:02Z,"<ul><li>Apple shares fell 0.5% Friday after the tech company reported a decline in revenue and lower China sales than the same quarter last year.</li><li>However, some analysts suggested that investo… [+2422 chars]"
26,"{'id': None, 'name': 'Observer'}","Nhari Djan, Nhari Djan",Apple TV+ Is a Bright Spot in Apple’s Mixed Quarterly Earnings,"Apple's overall sales declined for the fourth consecutive quarter, but its subscription revenue reached a record high.",https://observer.com/2023/11/apple-quarterly-earnings-services-record-revenue/,2023-11-03T19:16:51Z,"Apple CEO Tim Cook attends Apple TV+’s “The Morning Show” world premiere at David Geffen Hall on October 28, 2019 in New York City. Roy Rochlin/WireImage
Apple (AAPL)reported earnings for the Septem… [+2467 chars]"
27,"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
28,"{'id': None, 'name': ""Barron's""}",Eric J. Savitz,Apple Needs a New Growth Strategy. The Stock Is Counting On It.,"Apple’s latest forecast was disappointing, but there’s a bigger concern for investors. The company still hasn’t spent any time talking about generative AI.",https://www.barrons.com/articles/apple-nvidia-stock-price-tech-earnings-478083ec,2023-11-03T18:40:26Z,"Apples
 latest quarterly report highlighted a concerning issue for the worlds most valued company: It simply isnt growing. And no one can say when the malaise will come to an end.In the latest quart… [+5517 chars]"
29,"{'id': None, 'name': '9to5Mac'}",Seth Kurkowski,"9to5Mac Daily: November 3, 2023 – AAPL Q4 earnings, big-screen iMac dreams","Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apple’s Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overcast and other podcast players.



Sponsored by SimpleMDM: Ch…",https://9to5mac.com/2023/11/03/daily-november-3-2023/,2023-11-03T18:38:31Z,"Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apples Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overca… [+941 chars]"
30,"{'id': None, 'name': 'MarketWatch'}",Zoe Han,Apple Savings isn’t such a hot deal anymore — unless you’re in this group,"Apple Savings could be losing its allure for rate chasers, but that might not be the case for younger consumers.",https://www.marketwatch.com/story/apple-savings-isnt-such-a-hot-deal-anymore-unless-youre-in-this-group-7be72c5d,2023-11-03T18:34:00Z,"Should you get yourself an Apple Savings account? The answer to this question has changed since Apple first rolled out the high-yield savings account.Apple 
 AAPL,
 -0.78%
Savings drew attention w… [+4522 chars]"
31,"{'id': None, 'name': 'MarketWatch'}","Cody Willard, , Bryce Smith",Revolution Investing: These tech stocks face a day of reckoning and they’re likely in your portfolio,Fabless semiconductor companies may be hit hard if they can't adapt to a major industry shift that's now underway.,https://www.marketwatch.com/story/these-tech-stocks-face-a-day-of-reckoning-and-theyre-likely-in-your-portfolio-4b94b392,2023-11-03T18:11:31Z,A seismic shift is happening in the semiconductor industry right now. This transformation is not merely a technological evolution; its a financial game-changer that will significantly impact the port… [+6343 chars]
32,"{'id': None, 'name': ""Investor's Business Daily""}",Investor's Business Daily,Stock Market Rally Picks Up Steam; This Cloud Security Stock Makes A New High,The stock market got a lift after the October jobs numbers and other economic reports.,https://www.investors.com/market-trend/stock-market-today/stock-market-celebrates-jobs-numbers-apple-slides-after-giving-this-outlook/,2023-11-03T17:50:14Z,"October jobs numbers and other economic reports pushed stock market gains higher in afternoon trading on Friday, with all major indexes gaining momentum as the day went on. But Dow Jones component an… [+6992 chars]"
33,"{'id': None, 'name': 'MarketWatch'}",Philip van Doorn,Top Ten: Here’s why you might not have to pay a 6% commission next time you sell a home,"Also: Advice on settling family real-estate conflicts, where bond investors are pouring money, the Fed's outlook, and stock-market warnings and opportunities.",https://www.marketwatch.com/story/heres-why-you-might-not-have-to-pay-a-6-commission-next-time-you-sell-a-home-be7dca42,2023-11-03T16:40:14Z,"Going back decades, if you wanted to buy or sell a stock on the open market, you had to pay a 2% commission to buy and a 2% commission to sell. Then the advent of discount brokerage, led by Charles S… [+7479 chars]"
34,"{'id': None, 'name': 'Thefly.com'}",,What You Missed On Wall Street This Morning,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id3808248/AAPL;SQ;BKNG;QSR;MSFT;UBER;CFLT;OMCL;FOXA;FTNT;NFLX;NIO;MANU;WBD;UDMY;EDIT;RDFN;FIGS;FOXF;BILL;COIN;EXPE;PARA;DKNG;AMZN-What-You-Missed-On-Wall-Street-This-Morning,2023-11-03T16:00:15Z,"Get caught up quickly on the top news and calls moving stocks with these five Top Five lists. 
1. STOCK NEWS: 
<ul><li>Apple (AAPL) reported upbeat Q4 results, with year-over-year increases in iPho… [+3432 chars]"
35,"{'id': None, 'name': 'Macdailynews.com'}",MacDailyNews,Gene Munster: Apple’s doing better than it looks; China concerns were overblown,"Apple's December guidance is better than it looks when you set aside consensus, and focus on the business, which is growing about 7%…
The post Gene Munster: Apple’s doing better than it looks; China concerns were overblown appeared first on MacDailyNews.",https://macdailynews.com/2023/11/03/gene-munster-apples-doing-better-than-it-looks-china-concerns-were-overblown/,2023-11-03T15:39:36Z,"Apple’s December guidance is better than it looks when you set aside consensus, and focus on the business, which is growing about 7% in December compared to 1% in September, Deepwater’s Gene Munster … [+2007 chars]"
36,"{'id': None, 'name': 'MarketWatch'}",Philip van Doorn,Here’s why you might not have to pay a 6% commission next time you sell a home,"Also: Advice on settling family real-estate conflicts, where bond investors are pouring money, the Fed's outlook, and stock-market warnings and opportunities.",https://www.marketwatch.com/story/heres-why-you-might-not-have-to-pay-a-6-commission-next-time-you-sell-a-home-be7dca42,2023-11-03T15:38:00Z,"Going back decades, if you wanted to buy or sell a stock on the open market, you had to pay a 2% commission to buy and a 2% commission to sell. Then the advent of discount brokerage, led by Charles S… [+7479 chars]"
37,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Apple (NASDAQ:AAPL) Stock Rating Reaffirmed by Morgan Stanley,"Apple (NASDAQ:AAPL – Get Free Report)‘s stock had its “overweight” rating reissued by Morgan Stanley in a research note issued to investors on Friday, Benzinga reports. They presently have a $210.00 price target on the iPhone maker’s stock. Morgan Stanley’s p…",https://www.etfdailynews.com/2023/11/03/apple-nasdaqaapl-stock-rating-reaffirmed-by-morgan-stanley/,2023-11-03T14:28:50Z,"Apple (NASDAQ:AAPL – Get Free Report)‘s stock had its “overweight” rating reissued by Morgan Stanley in a research note issued to investors on Friday, Benzinga reports. They presently have a $210.00 … [+5837 chars]"
38,"{'id': None, 'name': 'CNBC'}",Jim Cramer,Jim Cramer's top 10 things to watch in the stock market Friday,"U.S. stocks climb higher in premarket trading Friday, as employment growth slows in October.",https://www.cnbc.com/2023/11/03/jim-cramers-top-10-things-to-watch-in-the-stock-market-friday.html,2023-11-03T13:16:15Z,"1. U.S. stocks climb higher in premarket trading Friday, with S&amp;P 500 futures up 0.46% after rising nearly 5% over the previous four sessions. Equities remain on track for their biggest weekly ga… [+3934 chars]"
39,"{'id': None, 'name': 'Biztoc.com'}",thestreet.com,Top Apple analysts react to post-earnings stock slide,"Wall Street did not seem to care that Apple's AAPL fourth-quarter results beat earnings and revenue estimates. The world's biggest tech company reported earnings of $1.46 per share, above estimates of $1.39, and total revenue of $89.5 billion, slightly above …",https://biztoc.com/x/f76f69cd55abc2ac,2023-11-03T13:14:47Z,"Wall Street did not seem to care that Apple's AAPL fourth-quarter results beat earnings and revenue estimates. The world's biggest tech company reported earnings of $1.46 per share, above estimates o… [+293 chars]"
40,"{'id': None, 'name': 'MarketWatch'}",Nathan Vardi,": Forget U.S. stocks for now. Invest here instead, says Bridgewater’s co-investment chief","In this interview, Karen Karniol-Tambour says U.S. stocks are ‘pricing in perfection.’ Bridgewater Associates’ co-chief investment officer lands on the MarketWatch 50 list of the most influential people in markets.",https://www.marketwatch.com/story/forget-u-s-stocks-for-now-invest-here-instead-says-bridgewaters-co-investment-chief-15d288f6,2023-11-03T13:08:56Z,"As co-chief investment officer of Bridgewater Associates, the worlds biggest hedge fund firm, Karen Karniol-Tambour scours global markets for good investment opportunities. Shes increasingly finding … [+3651 chars]"
41,"{'id': None, 'name': 'Biztoc.com'}",investors.com,Tech Futures Fall On Apple's Holiday Warning,"Dow Jones futures edged higher Friday morning, while S&P 500 futures and Nasdaq futures fell slightly. Apple (AAPL) headlined earnings reports overnight with the October jobs report due before the open. The stock market rally continued to roar Thursday, with …",https://biztoc.com/x/48a7062f83ef1036,2023-11-03T13:08:14Z,"Dow Jones futures edged higher Friday morning, while S&amp;P 500 futures and Nasdaq futures fell slightly. Apple (AAPL) headlined earnings reports overnight with the October jobs report due before th… [+297 chars]"
42,"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"Stock market news today: Tech stocks slip amid Apple gloom, with jobs report on deck","Tech stocks retreated on Friday in the wake of disappointing results from Apple (AAPL), as investors waited for the monthly US jobs report that could test hopes that the Federal Reserve is done with its rate-hiking campaign. Futures on the tech-heavy Nasdaq 1…",https://biztoc.com/x/b4ddffd4828ac66e,2023-11-03T12:46:05Z,"Tech stocks retreated on Friday in the wake of disappointing results from Apple (AAPL), as investors waited for the monthly US jobs report that could test hopes that the Federal Reserve is done with … [+266 chars]"
43,"{'id': None, 'name': 'MarketWatch'}",Emily Bary,The Ratings Game: Apple shows its ‘massive battleship’ is getting tougher to move,"Apple's $89.5 billion in quarterly revenue is nothing to sneeze at, but it also illustrates some of the challenges of being a mature company.",https://www.marketwatch.com/story/apple-shows-its-massive-battleship-is-getting-tougher-to-move-9ea06bf3,2023-11-03T12:24:01Z,"Apple Inc.s $89.5 billion in quarterly revenue is nothing to sneeze at, but it also illustrates some of the challenges of being a mature company. Rosenblatt Securities analyst Barton Crockett likened… [+2940 chars]"
44,"{'id': None, 'name': 'Biztoc.com'}",aol.com,"Stock market news today: Tech stocks slip amid Apple gloom, with jobs report on deck","Tech stocks retreated on Friday in the wake of disappointing results from Apple (AAPL), as investors waited for the monthly US jobs report that could test hopes that the Federal Reserve is done with its rate-hiking campaign. Futures on the tech-heavy Nasdaq 1…",https://biztoc.com/x/35187093942d4f0d,2023-11-03T12:22:09Z,"Tech stocks retreated on Friday in the wake of disappointing results from Apple (AAPL), as investors waited for the monthly US jobs report that could test hopes that the Federal Reserve is done with … [+254 chars]"
